词性,出现次数,COCA词频,词汇,,音标+释义
D,61,310,several,,英:/'sev(ə)r(ə)l/ 美:/'sɛvrəl/,,,1. adj. 几个的；各自的 2. pron. 几个；数个
D,21,776,whatever,,英:/wɒt'evə/ 美:/wət'ɛvɚ/,,,1. adj. 不管什么样的 2. pron. 无论什么；诸如此类
D,19,527,whose,,英:/huːz/ 美:/huz/,,,pron. 谁的（疑问代词）
D,13,442,former,,英:/'fɔːmə/ 美:/'fɔrmɚ/,,,1. adj. 从前的，前者的；前任的 2. n. 模型，样板；起形成作用的人
D,2,2742,latter,,英:/'lætə/ 美:/'lætɚ/,,,adj. 后者的；较后的；近来的；后面的
D,1,6191,whatsoever,,英:/wɒtsəʊ'evə/ 美:/ˌhwɑtso'ɛvɚ/,,,无论怎样，丝毫，任何
D,1,10939,whichever,,英:/wɪtʃ'evə/ 美:/wɪtʃ'ɛvɚ/,,,任何
E,629,53,there,,英:/ðeə/ 美:/ðɛr/,,,1. adv. 在那里；在那点上；在那边 2. int. 你瞧
I,5404,4,of,,英:/ɒv/ 美:/əv/,,,prep. 属于；关于；…的；由…组成的
I,4371,6,in,,英:/ɪn/ 美:/ɪn/,,,1. prep. 在…之内；从事于；按照（表示方式） 2. adv. 进入；在屋里；（服装等）时髦；当选
I,2365,13,for,,英:/fɔː/ 美:/fɔrfə/,,,1. prep. 为，为了；给；因为；对于；适合于；至于 2. conj. 因为
I,2172,17,on,,英:/ɒn/ 美:/ɑn/,,,1. adv. 向前地；继续着；作用中，行动中 2. prep. 在……之上；在……时候；关于；向，朝……
I,1603,16,with,,英:/wɪð/ 美:/wɪð/,,,prep. 用；支持；随着；和…在一起
I,1110,26,from,,英:/frɒm/ 美:/frʌm/,,,prep. 来自，从；今后；由于
I,1033,22,at,,英:/æt/ 美:/ət/,,,prep. 在（表示存在或出现的地点、场所、位置、空间）；向；朝；因为；忙于；以（某种价格、速度等）
I,1004,30,by,,英:/baɪ/ 美:/baɪ/,,,1. prep. 被；经由；在……之前；在附近；依据；通过 2. adv. 经过；通过；附近；[域]白俄罗斯
I,810,46,about,,英:/ə'baʊt/ 美:/ə'baʊt/,,,1. prep. 关于；大约 2. adj. 四处走动的；在起作用的；在附近的
I,373,112,through,,英:/θruː/ 美:/θru/,,,1. prep. 穿过；通过；凭借 2. adv. 从头至尾；彻底
I,339,74,like,,英:/laɪk/ 美:/laɪk/,,,相似的，同样的
I,264,65,into,,英:/'ɪntʊ/ 美:/'ɪntə/,,,prep. 到…里；深入…之中；成为…状况；进入到…之内
I,264,120,after,,英:/'ɑːftə/ 美:/'æftɚ/,,,1. adv. 后来，以后 2. prep. 在……之后
I,252,124,over,,英:/'əʊvə/ 美:/'ovɚ/,,,1. adv. 结束；越过；从头到尾 2. prep. 在…之上；越过；遍于…之上
I,197,219,before,,英:/bɪ'fɔː/ 美:/bɪ'fɔr/,,,1. prep. 在…之前，先于 2. adv. 在前；以前
I,136,478,according,,英:/ə'kɔːdɪŋ/ 美:/ə'kɔrdɪŋ/,,,根据，按照
I,121,140,between,,英:/bɪ'twiːn/ 美:/bɪ'twin/,,,1. prep. 在…之间 2. adv. 在中间
I,112,264,around,,英:/ə'raʊnd/ 美:/ə'raʊnd/,,,1. adv. 到处；大约；在附近 2. prep. 四处；在…周围
I,107,198,during,,英:/'djʊərɪŋ/ 美:/'dʊrɪŋ/,,,prep. 在…的时候，在…的期间
I,106,3652,re,,英:/riː/ 美:/ri/,,,关于
I,103,218,without,,英:/wɪð'aʊt/ 美:/wɪ'θaʊt/,,,1. prep. 没有；在…外面；超过 2. adv. 在外面；户外；没有或不显示某事物
I,78,279,among,,英:/ə'mʌŋ/ 美:/ə'mʌŋ/,,,prep. 在…中间；在…之中
I,72,225,under,,英:/'ʌndə/ 美:/'ʌndɚ/,,,1. prep. 低于，少于；在...之下 2. adv. 在下面；在下方
I,49,377,across,,英:/ə'krɒs/ 美:/ə'krɔs/,,,1. prep. 穿过；横穿 2. adv. 在对面；横过
I,44,746,beyond,,英:/bɪ'jɒnd/ 美:/bɪ'jɑnd/,,,1. prep. 超过；越过；在...较远的一边；那一边 2. adv. 在更远处；在远处
